Šifra stranke,Naziv,E-pošta,Tel. številko,Uporabniki,Skupina (Magento),Cenik,Plačnik,Popust polno pakiranje,Vrednostni rabat,Rabat prag 1,Rabat % 1,Rabat prag 2,Rabat % 2,Rabat prag 3,Rabat % 3,B2B+,Skupine popustov,Popust NW
0001359,RONA TRGOVINA d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001368,S E P d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001372,SALUTEM d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001385,SBS TRGOVINA d.o.o.,,,,,B2B,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001386,"SBS TRGOVINA, PE KOČEVJE",,,,,B2C,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001387,"SBS TRGOVINA, PE GROSUPLJE",,,,,B2C,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001394,SELEKTRA PLUS d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001410,SIMCO Sebastjan Simončič s.p.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001418,SKT d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001424,SLOVENSKI PODJETNIŠKI SKLAD,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001436,SPL d.d.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001442,STARLES d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001444,S-TISK Tomaž Sladič s.p.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001455,ŠOKO d.o.o. Trebnje,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001471,"TAMES PODJETJE ZA TRGOVINO, INŽENIRING IN STORITVE D.O.O.",,,,,B2B,0001053|,0,0,800,1,1500,2,3000,3,0,,
0001481,TECHNOBOX d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001489,TEMS-US d.o.o. Ljubljana,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001491,"TEO - TEN, d.o.o.",,,,,B2B,0001053|,0,0,800,1,1500,2,3000,3,0,,
0001492,"TEO - TEN, PE MURSKA SOBOTA",,,,,B2C,0001053|,0,0,800,1,1500,2,3000,3,0,,
0001494,TERMOTEHNIKA d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001496,TESLA LIGHTING s.r.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001511,TINKI d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001512,"TINKI, Tilen Šenk s.p.",,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001537,TOPDOM d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001538,"TOPDOM d.o.o., PE NM",,,,,B2C,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001540,"TOPMET Light K. Klosowicz, M.  WIŚNIEWSKI I WSPÓLNIK SPÓŁKA JAWNA",,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0001541,TOTAL d.o.o. Novo mesto,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001549,"ELEKTROSIGNAL, d.o.o.",,,,,B2B,0000717|,0,0,800,1,1500,2,3000,3,0,,
0001550,TehnoLES D.O.O. PE Hauptman,,,,,B2B,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001554,TUL TRGOVSKA DEJAVNOST D.O.O.,,,,,B2B,0001053|,0,0,800,1,1500,2,3000,3,0,,
0001559,TZT d.o.o.,,,,,B2B,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001584,USCO Uroš Strmec s.p.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001589,"VALINA UPRAVLJANJE, d.o.o.",,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001598,VELOG d.o.o. Ljubljana,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001599,VELTRAG d.o.o.,,,,,B2B,0000717|,0,0,800,1,1500,2,3000,3,0,,
0001609,"VIGRED, d.o.o. NE OBSTAJAJO VEČ",,,,,B2B,0000717|,0,0,800,1,1500,2,3000,3,0,,
0001612,"VIMP, MATJAŽ JERŠIN S.P.",,,,,B2B,0001612|,0,0,800,1,1500,2,3000,3,0,,
0001613,VINI d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001616,Viola Direkt GmbH,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001620,VITO EUROPE LTD,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0001630,WATT ELEKTRO d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001636,XILON d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001647,Zavod Kultiza,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001679,Medicina Mataln d.o.o.,,,,,,,0,0,800,1,1500,2,3000,3,0,,
0001688,FUTURISTIC LIFE d.o.o.,,,,,,,0,0,800,1,1500,2,3000,3,0,,
0001694,"MARCHIOL d.o.o., PE Novo mesto",,,,,B2C,0001053|,0,0,800,1,1500,2,3000,3,0,,
0001695,ETS PREGL d.o.o. Maribor,,,,,B2C,0000704|,0,0,800,1,1500,2,3000,3,0,,
